Tratamentos,Tempos,Repetição,Resistencia_tracao,Rigidez_secante,Deformação
1.0,5.0,7.0,2.079187544,2.176190844,2.250026316
1.0,6.0,1.0,2.784624204,8.038425708,0.815805263
1.0,6.0,2.0,2.999038924,2.025536515,3.486847368
1.0,6.0,3.0,2.038360934,1.861371521,2.578926316
1.0,6.0,4.0,3.052264685,1.916808771,3.750026316
1.0,6.0,5.0,2.838127389,3.628312043,1.842121053
1.0,6.0,6.0,2.264549186,1.911824147,2.789489474
1.0,6.0,7.0,3.023636235,3.340558107,2.131578947
2.0,1.0,1.0,10.63094409,13.59098033,1.842094737
2.0,1.0,2.0,14.26834253,5.911426213,5.684236842
2.0,1.0,3.0,5.870025478,7.504343963,1.842121053
2.0,1.0,4.0,8.249622081,10.11288324,1.9211
2.0,1.0,5.0,5.830600142,8.089618708,1.697368421
2.0,2.0,2.0,6.287013447,9.377268101,1.578915789
2.0,2.0,3.0,6.37798443,9.756680798,1.539473684
2.0,2.0,4.0,8.001707006,7.12510209,2.644736842
2.0,2.0,5.0,2.242714791,5.352328581,0.986784211
2.0,2.0,6.0,8.223721161,6.782852075,2.855268421
2.0,2.0,7.0,6.400434536,7.204624931,2.092131579
2.0,3.0,1.0,2.664379335,2.756458414,2.276331579
2.0,3.0,2.0,3.638648266,3.94694101,2.171052632
2.0,3.0,3.0,6.651852795,3.968495378,3.947368421
2.0,3.0,4.0,5.836870488,8.424809195,1.631589474
2.0,3.0,5.0,5.865898089,7.2908225,1.894736842
2.0,3.0,6.0,4.420969568,7.608230802,1.368436842
2.0,3.0,7.0,2.498973815,2.962013005,1.986852632
2.0,4.0,1.0,4.717898089,2.932001517,3.789442105
2.0,4.0,2.0,1.530707714,2.914582234,1.236821053
2.0,4.0,3.0,6.677087049,6.713908889,2.342084211
2.0,4.0,4.0,6.587559802,5.895171896,2.631594737
2.0,4.0,5.0,6.857347488,4.909304358,3.289478947
2.0,4.0,6.0,4.740039632,5.438283932,2.052631579
2.0,4.0,7.0,4.950209483,4.520340231,2.578952632
2.0,5.0,1.0,3.965102619,5.963587482,1.565805263
2.0,5.0,2.0,7.495818825,6.125979002,2.881605263
2.0,5.0,3.0,4.541230007,3.644788739,2.934215789
2.0,5.0,4.0,5.152291578,3.588171273,3.381568421
2.0,5.0,5.0,4.605685775,6.151518616,1.763205263
2.0,5.0,6.0,2.75398443,2.071000809,3.131642105
2.0,5.0,7.0,2.111624912,2.290570449,2.171021053
2.0,6.0,1.0,1.110212314,1.471873009,1.776342105
2.0,6.0,2.0,0.151184713,0.093306648,3.815805263
2.0,6.0,3.0,1.470600142,1.709160701,2.026294737
2.0,6.0,4.0,1.129041755,0.70656302,3.763136842
2.0,6.0,5.0,1.522901628,0.75713172,4.736868421
2.0,6.0,6.0,0.729756546,1.404428244,1.223684211
2.0,6.0,7.0,1.091677282,1.268749253,2.026326316
