two_theta_deg,intensity_syagrus_raw,intensity_typha_raw,syagrus_bgsub_norm,typha_bgsub_norm,syagrus_plot,typha_plot
9.371,9860,9761,0.006109324758842444,0.03773584905660377,0.15610932475884243,-0.6122641509433963
9.397,9900,9781,0.018971061093247588,0.04543704274162495,0.16897106109324758,-0.604562957258375
9.423,9880,9821,0.012540192926045015,0.06083943011166731,0.16254019292604502,-0.5891605698883328
9.449,9880,9801,0.012540192926045015,0.053138236426646134,0.16254019292604502,-0.5968617635733539
9.475,9940,9643,0.031832797427652736,0.0,0.18183279742765274,-0.65
9.501,9960,9722,0.038263665594855306,0.022718521370812476,0.1882636655948553,-0.6272814786291876
9.527,9761,9722,0.0,0.022718521370812476,0.15,-0.6272814786291876
9.553,9761,9781,0.0,0.04543704274162495,0.15,-0.604562957258375
9.579,9900,9702,0.018971061093247588,0.015017327685791297,0.16897106109324758,-0.6349826723142087
9.605,9841,9643,0.0,0.0,0.15,-0.65
9.631,9920,9742,0.02540192926045016,0.030419715055833654,0.17540192926045015,-0.6195802849441664
9.657,9920,9761,0.02540192926045016,0.03773584905660377,0.17540192926045015,-0.6122641509433963
9.683,9960,9683,0.04469453376205788,0.007701193685021178,0.19469453376205786,-0.6422988063149788
9.709,10000,9742,0.057556270096463025,0.030419715055833654,0.20755627009646302,-0.6195802849441664
9.735,10000,9761,0.057556270096463025,0.03773584905660377,0.20755627009646302,-0.6122641509433963
9.761,9880,9663,0.02540192926045016,0.0,0.17540192926045015,-0.65
9.787,9860,9761,0.018971061093247588,0.03773584905660377,0.16897106109324758,-0.6122641509433963
9.813,9841,9683,0.012861736334405145,0.007701193685021178,0.16286173633440515,-0.6422988063149788
9.839,9683,9860,0.0,0.07585675779745861,0.15,-0.5741432422025414
9.865,9920,9821,0.04469453376205788,0.06083943011166731,0.19469453376205786,-0.5891605698883328
9.891,9940,9702,0.05112540192926045,0.015017327685791297,0.20112540192926043,-0.6349826723142087
9.917,9880,9663,0.038263665594855306,0.0,0.1882636655948553,-0.65
9.943,9841,9526,0.02572347266881029,0.0,0.17572347266881028,-0.65
9.969,9801,9801,0.012861736334405145,0.053138236426646134,0.16286173633440515,-0.5968617635733539
9.995,9980,9860,0.08295819935691319,0.07585675779745861,0.2329581993569132,-0.5741432422025414
10.021,9781,9781,0.018971061093247588,0.04543704274162495,0.16897106109324758,-0.604562957258375
10.047,10000,9702,0.09581993569131833,0.015017327685791297,0.24581993569131833,-0.6349826723142087
10.073,10020,9940,0.10836012861736334,0.10666153253754332,0.25836012861736335,-0.5433384674624567
10.099,9920,9860,0.07620578778135048,0.08355795148247978,0.22620578778135048,-0.5664420485175202
10.125,9841,9722,0.057234726688102894,0.030419715055833654,0.2072347266881029,-0.6195802849441664
10.151,9900,10060,0.08263665594855306,0.16056988833269156,0.23263665594855304,-0.48943011166730843
10.177,9801,9900,0.05691318327974276,0.09896033885252215,0.20691318327974276,-0.5510396611474779
10.203,9683,9880,0.018971061093247588,0.09125914516750096,0.16897106109324758,-0.558740854832499
10.229,9920,9860,0.10803858520900321,0.08355795148247978,0.2580385852090032,-0.5664420485175202
