Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
3535,00;55,60
3534,00;55,56
3533,00;55,52
3532,00;55,47
3531,00;55,43
3530,00;55,39
3529,00;55,34
3528,00;55,29
3527,00;55,24
3526,00;55,19
3525,00;55,13
3524,00;55,07
3523,00;55,02
3522,00;54,97
3521,00;54,92
3520,00;54,87
3519,00;54,81
3518,00;54,75
3517,00;54,69
3516,00;54,63
3515,00;54,58
3514,00;54,52
3513,00;54,46
3512,00;54,40
3511,00;54,35
3510,00;54,30
3509,00;54,25
3508,00;54,19
3507,00;54,13
3506,00;54,07
3505,00;54,02
3504,00;53,96
3503,00;53,90
3502,00;53,84
3501,00;53,79
3500,00;53,74
3499,00;53,69
3498,00;53,64
3497,00;53,59
3496,00;53,55
3495,00;53,51
3494,00;53,47
3493,00;53,43
3492,00;53,39
3491,00;53,35
3490,00;53,32
3489,00;53,28
3488,00;53,25
3487,00;53,22
3486,00;53,19
3485,00;53,17
3484,00;53,14
3483,00;53,12
3482,00;53,10
3481,00;53,07
3480,00;53,04
3479,00;53,03
3478,00;53,02
3477,00;53,02
3476,00;53,02
3475,00;53,02
3474,00;53,01
3473,00;53,00
3472,00;52,99
3471,00;52,97
3470,00;52,95
3469,00;52,93
3468,00;52,91
3467,00;52,91
3466,00;52,91
3465,00;52,92
3464,00;52,92
3463,00;52,92
3462,00;52,92
3461,00;52,91
3460,00;52,92
3459,00;52,92
3458,00;52,92
3457,00;52,92
3456,00;52,92
3455,00;52,92
3454,00;52,92
3453,00;52,91
3452,00;52,91
3451,00;52,90
3450,00;52,89
3449,00;52,88
3448,00;52,87
3447,00;52,86
3446,00;52,84
3445,00;52,83
3444,00;52,82
3443,00;52,81
3442,00;52,79
3441,00;52,78
3440,00;52,75
3439,00;52,73
3438,00;52,70
3437,00;52,68
3436,00;52,66
3435,00;52,64
3434,00;52,62
3433,00;52,60
3432,00;52,58
3431,00;52,56
3430,00;52,54
3429,00;52,51
3428,00;52,50
3427,00;52,49
3426,00;52,48
3425,00;52,47
3424,00;52,46
3423,00;52,45
3422,00;52,44
3421,00;52,43
3420,00;52,43
3419,00;52,43
3418,00;52,44
3417,00;52,45
3416,00;52,47
3415,00;52,49
3414,00;52,51
3413,00;52,53
3412,00;52,56
3411,00;52,59
3410,00;52,62
3409,00;52,66
3408,00;52,71
3407,00;52,76
3406,00;52,81
3405,00;52,85
3404,00;52,89
3403,00;52,92
3402,00;52,95
3401,00;52,99
3400,00;53,03
3399,00;53,09
3398,00;53,15
3397,00;53,21
3396,00;53,26
3395,00;53,30
3394,00;53,34
3393,00;53,37
3392,00;53,40
3391,00;53,44
3390,00;53,49
3389,00;53,54
3388,00;53,59
3387,00;53,63
3386,00;53,68
3385,00;53,72
3384,00;53,75
3383,00;53,79
3382,00;53,82
3381,00;53,86
3380,00;53,90
3379,00;53,95
3378,00;53,99
3377,00;54,04
3376,00;54,08
3375,00;54,12
3374,00;54,17
3373,00;54,21
3372,00;54,24
3371,00;54,27
3370,00;54,30
3369,00;54,33
3368,00;54,38
3367,00;54,43
3366,00;54,48
3365,00;54,54
3364,00;54,59
3363,00;54,64
3362,00;54,69
3361,00;54,74
3360,00;54,78
3359,00;54,83
3358,00;54,88
3357,00;54,93
3356,00;54,98
3355,00;55,03
3354,00;55,07
3353,00;55,11
3352,00;55,14
3351,00;55,17
3350,00;55,21
3349,00;55,26
3348,00;55,31
3347,00;55,36
3346,00;55,41
3345,00;55,45
3344,00;55,48
3343,00;55,52
3342,00;55,56
3341,00;55,59
3340,00;55,62
3339,00;55,65
3338,00;55,69
3337,00;55,73
3336,00;55,78
3335,00;55,82
